QUẬN HUYỆN,DIỆN TÍCH - M2,HƯỚNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ,GIÁ - TRIỆU ĐỒNG
Quận 9,59,,2,1,Đang chờ sổ,2550
Quận Thủ Đức,40,Tây Nam,1,1,Đã có sổ,1150
Quận Thủ Đức,38,Đông Nam,1,1,Đã có sổ,1190
Quận Thủ Đức,38,,1,1,Đã có sổ,1120
Quận 9,70,,2,2,Đang chờ sổ,2600
Quận 7,53,,1,1,Đang chờ sổ,2250
Quận Bình Thạnh,106,,3,2,Đã có sổ,6400
Quận Tân Bình,40,Đông,1,1,Giấy tờ khác,950
Quận Thủ Đức,68,,2,2,Đã có sổ,2900
Quận 12,65,,2,2,Đang chờ sổ,2600
Quận Bình Thạnh,170,,3,3,Đã có sổ,6900
Quận 8,57,,1,1,,1870
Huyện Bình Chánh,59,,2,2,Giấy tờ khác,2200
Quận 3,40,Đông Bắc,1,1,Giấy tờ khác,1000
Quận Tân Phú,84,Tây Bắc,2,2,,3780
Quận Gò Vấp,75,Nam,2,2,Đã có sổ,3700
Quận Tân Phú,72,,2,2,Đang chờ sổ,2600
Quận Phú Nhuận,70,,2,1,Đã có sổ,3600
Quận Thủ Đức,75,,3,,,800
Quận 5,150,,3,4,Đã có sổ,5950
Quận Tân Bình,60,,2,2,Đã có sổ,2350
Quận 11,95,,2,2,Đã có sổ,3800
Quận Thủ Đức,80,,2,2,Đã có sổ,2450
Quận 12,48.6,,2,1,Giấy tờ khác,1690
Quận 9,30,,1,1,Đang chờ sổ,1400
Quận 7,90,,1,1,,9000
Quận Bình Thạnh,90,,1,,,9000
Quận Tân Phú,123,,2,2,,10000
Quận Bình Tân,68,,2,2,,2600
Quận Bình Tân,75,,2,2,,3000
Quận Bình Thạnh,90,,2,2,Đã có sổ,6100
Quận 9,51.7,,1,1,Đang chờ sổ,450
Quận 2,75,,2,2,Đã có sổ,4200
Quận Tân Phú,65,,2,2,Đang chờ sổ,2800
Quận Phú Nhuận,33,,1,1,,3200
Huyện Bình Chánh,80,Đông,3,3,Đã có sổ,780
Quận Bình Tân,51,,2,1,Đã có sổ,1670
Quận Tân Phú,91,,3,2,,3350
Quận 2,64,,2,2,Đã có sổ,1260
Quận 5,103,,3,3,Đã có sổ,1450
Quận 7,147,Đông Nam,3,3,Đã có sổ,9500
Quận 9,51,Tây Bắc,1,1,Đang chờ sổ,1600
Quận Tân Bình,52,,1,1,,2970
Quận 7,45,,2,1,,2690
Quận 7,161.45,,3,4,,2300
Quận Tân Phú,112.1,,3,2,Giấy tờ khác,5555
Quận 7,67,,2,2,Đang chờ sổ,1550
Quận 2,75,Tây Bắc,2,2,Đang chờ sổ,4300
Quận 9,69,,2,1,Đã có sổ,1900
Quận 9,69,,2,1,Đang chờ sổ,1900
Quận Tân Phú,47,Bắc,1,1,Đang chờ sổ,1500
Quận Phú Nhuận,70,,2,2,Đang chờ sổ,3990
Quận 2,63,Đông,1,1,Đang chờ sổ,1950
Quận 2,66,Nam,2,2,Đang chờ sổ,3000
Quận Bình Tân,100,Đông,3,2,Đang chờ sổ,2150
Huyện Nhà Bè,67,Đông Nam,2,2,Đang chờ sổ,1150
Quận 2,52,,1,1,Đang chờ sổ,1400
Quận Tân Phú,90,,3,2,Đang chờ sổ,3100
Quận 1,160,Đông,4,3,Đang chờ sổ,30000
Quận 2,50,,1,1,,1200
Quận 2,90,,2,2,Đang chờ sổ,5500
Quận 7,200,Tây,2,1,,100
Quận Thủ Đức,37,Bắc,1,1,Đã có sổ,1200
Quận Gò Vấp,95,Tây Bắc,3,2,Đã có sổ,3990
Quận Gò Vấp,71,,2,2,,2000
Quận 9,59,,2,2,,450
Quận 8,72,Đông,2,2,Giấy tờ khác,2000
Quận Bình Thạnh,124,,3,2,,8800
Quận Bình Thạnh,72,Đông Nam,2,2,Đang chờ sổ,3100
Quận Bình Tân,72,,2,,,1650
Quận Bình Tân,72,,2,,Đã có sổ,1771
Quận Bình Tân,78,,2,2,Đã có sổ,1830
Quận Bình Tân,60,Nam,2,1,Đã có sổ,1460
Quận Tân Phú,53,,2,1,,2450
Quận 4,77,Đông Bắc,2,2,Đang chờ sổ,3350
Quận 7,64.07,,1,1,Đang chờ sổ,2850
Quận Bình Tân,36,,1,,,3380
Quận 9,59,,2,2,Đang chờ sổ,2535
Quận 7,96,,3,2,,3800
Quận 7,96,,3,2,,4000
Quận 4,100,,3,2,Đã có sổ,3700
Quận 1,46,,1,1,Đã có sổ,2900
Quận Tân Bình,60,,2,2,Đang chờ sổ,3300
Quận 2,127,Đông,3,3,Giấy tờ khác,9000
Quận 9,70,,2,2,,2700
Quận 7,67,,2,2,Đang chờ sổ,1530
Huyện Nhà Bè,121,Tây Nam,3,2,Đã có sổ,2630
Quận Tân Bình,76,,3,2,Đang chờ sổ,2680
Quận Gò Vấp,62,,2,2,Đã có sổ,2150
Quận Bình Thạnh,62,Tây,2,1,Đã có sổ,2300
Quận 2,46,Đông Nam,1,1,Đang chờ sổ,2950
Quận 2,74,,3,3,,2000
Quận 12,50,,2,2,Đã có sổ,1800
Huyện Nhà Bè,121,,3,3,Đã có sổ,2400
Quận 9,56,Nam,1,1,Giấy tờ khác,1454
Quận Tân Phú,72,,2,2,Đã có sổ,2100
Quận 1,101,,3,2,Đang chờ sổ,15000
Quận 12,65,,2,2,,2300
Quận 9,56,,2,1,,1850
Quận 9,67,,2,2,,2700
Quận Tân Phú,59,Nam,2,2,Đang chờ sổ,1550
Quận 8,80,,2,2,,900
Huyện Bình Chánh,59,Đông,2,2,Đang chờ sổ,2200
Quận Bình Tân,76,,2,2,Giấy tờ khác,2370
Quận Bình Tân,37,Đông Nam,1,1,Đã có sổ,850
Quận 8,78,,2,2,,2540
Quận 8,75,,2,2,,2140
Quận 4,81,,2,2,Đang chờ sổ,3450
Quận 6,53,,2,2,,1550
Quận 7,34,,1,,Đang chờ sổ,1650
Quận 4,75,,2,2,Đã có sổ,3000
Quận Tân Phú,67,,2,2,,1800
Quận Gò Vấp,170,,,,,36000
Quận 8,62,,2,2,Đang chờ sổ,2150
Quận 5,55.4,Tây Nam,2,1,Đã có sổ,2600
Quận 10,78,Tây Nam,2,2,Đang chờ sổ,6800
Quận Tân Phú,65,Đông Bắc,2,2,Đang chờ sổ,2450
Quận Tân Phú,70,,2,2,Đã có sổ,2350
Quận 2,85,,2,2,,3450
Quận Tân Phú,62,,2,2,Đang chờ sổ,1950
Quận Tân Phú,38,Tây Bắc,1,1,Đã có sổ,1450
Quận 7,70.2,Bắc,2,2,,3350
Quận Tân Bình,72,,2,2,Đã có sổ,1250
Quận 9,52,,2,1,,1835
Quận Tân Bình,36,,1,1,,950
Quận Bình Thạnh,130,,3,3,,5500
Quận Tân Phú,103.4,,2,2,Đã có sổ,4700
Quận 8,85,,3,2,Đã có sổ,2856
Quận Thủ Đức,37,Đông,1,1,Đã có sổ,1135
Quận Bình Tân,66,,2,2,Đã có sổ,1730
Quận 12,61,Đông,2,2,Đã có sổ,1850
Quận 7,52,,2,1,Đã có sổ,2300
Huyện Nhà Bè,70,,2,2,Đang chờ sổ,3000
Quận 9,47,,1,1,Đang chờ sổ,1850
Huyện Bình Chánh,40,,2,1,Đang chờ sổ,1290
Quận Tân Bình,90.5,Tây Nam,2,2,Đã có sổ,3150
Quận 12,51,Nam,2,2,Đã có sổ,1800
Quận Tân Phú,46,Đông,1,1,Đã có sổ,1450
Quận 9,54,,1,2,Đã có sổ,1300
Quận 1,72,,2,2,Giấy tờ khác,9800
Quận Bình Tân,52,,1,,,1900
Quận Bình Tân,47,,1,1,Đã có sổ,1170
Quận Bình Tân,73,Đông,2,2,Giấy tờ khác,1700
Quận 9,59,Đông Nam,2,1,Đang chờ sổ,1255
Quận Tân Phú,54,,2,1,,2450
Quận Bình Thạnh,60,,2,2,Đang chờ sổ,3100
Quận Bình Thạnh,62,,2,1,Đã có sổ,2550
Quận Bình Thạnh,116,,3,2,Đã có sổ,7600
Quận Tân Bình,57.3,Đông Nam,2,2,Đã có sổ,2350
Quận 4,87,,2,,Đã có sổ,3200
Quận Thủ Đức,80,,3,2,Đang chờ sổ,3300
Quận 8,182,,3,3,Đã có sổ,5900
Quận Tân Phú,145,,2,2,,10100
Quận Thủ Đức,66,Đông Nam,2,2,Giấy tờ khác,1421
Huyện Bình Chánh,109,Đông,3,2,Đã có sổ,2200
Quận Tân Phú,75,,3,2,Đã có sổ,2700
Huyện Bình Chánh,72,,2,2,Đang chờ sổ,2660
Quận Tân Bình,70,,2,2,Đang chờ sổ,4300
Quận Bình Thạnh,105,,2,2,,3500
Quận 7,114,Bắc,3,2,Đang chờ sổ,3900
Quận Tân Phú,64,,2,2,Đang chờ sổ,1850
Quận 9,79,,3,,Đang chờ sổ,2750
Quận 2,96,,2,2,Đang chờ sổ,8600
Quận 8,50,,1,1,Đang chờ sổ,2400
Quận 12,65,,2,2,,1680
Quận Tân Bình,66,Đông Bắc,2,2,Đã có sổ,3500
Quận 2,45,,1,1,Đang chờ sổ,2100
Quận 8,60,,2,1,,2290
Huyện Bình Chánh,50,,2,2,Đang chờ sổ,1350
Quận Thủ Đức,75,Đông Bắc,2,2,Đã có sổ,2600
Quận 7,36,,1,1,,1120
Quận Thủ Đức,50,Tây Bắc,2,2,Đã có sổ,1470
Quận 9,31,,1,1,Đang chờ sổ,1230
Quận 7,99,,3,2,,5300
Quận 7,62,,2,1,,3100
Quận 8,31.7,Đông Nam,3,1,Đã có sổ,2200
Quận Bình Tân,75,Đông,2,2,,2900
Quận Bình Tân,75,,2,2,,2624
Quận Tân Phú,40,Bắc,1,1,Đã có sổ,950
Quận Tân Phú,65,,2,2,,2780
Quận Gò Vấp,74,,2,3,Đã có sổ,5700
Quận 9,33,,1,1,Đang chờ sổ,1240
Quận 2,73,Tây,2,2,Đang chờ sổ,3200
Quận Tân Phú,68,,2,2,,1500
Quận 8,164,,4,2,Đang chờ sổ,6400
Quận Tân Bình,30,,1,1,,850
Quận 9,66,,2,2,,2470
Quận Bình Tân,83,,3,2,,2300
Quận 2,75,,2,2,Đã có sổ,1100
Quận Tân Phú,65,,2,2,Đã có sổ,2850
Quận 8,99.34,Nam,2,2,Đã có sổ,2080
Quận 9,66,,2,2,Đang chờ sổ,2200
Quận Tân Bình,44,Đông,1,1,Giấy tờ khác,950
Quận 9,58,,2,2,,1750
Quận 2,55,,1,2,Đã có sổ,1950
Quận 7,37,Bắc,1,1,Đang chờ sổ,1800
Quận 7,84,Đông,2,1,Đã có sổ,2200
Quận 7,68.66,,2,2,Đã có sổ,2250
Quận 9,81,Tây Nam,3,2,Giấy tờ khác,3300
Quận Thủ Đức,40,,1,1,Giấy tờ khác,960
Quận Thủ Đức,50,,2,2,Đã có sổ,1470
Quận Thủ Đức,37,,1,1,Đã có sổ,1170
Quận Tân Bình,,,1,1,Đã có sổ,1000
Quận 9,46,,1,1,Đang chờ sổ,1786
Quận Tân Phú,53,,2,1,,2450
Quận 8,62,Đông Nam,2,2,Đang chờ sổ,2100
Quận 7,106,Đông,2,2,Đã có sổ,4600
Quận 7,80,,2,2,,3800
Huyện Bình Chánh,60,Đông Nam,2,2,Đang chờ sổ,1440
Quận 2,56,,2,1,,3200
Huyện Nhà Bè,67,Tây,2,2,Đang chờ sổ,1400
Quận Tân Phú,96,Nam,2,2,Giấy tờ khác,5140
Quận 10,60,Đông Bắc,2,2,Đang chờ sổ,2700
Quận Bình Tân,71,,2,2,Đang chờ sổ,185
Quận 7,99,,2,2,Đã có sổ,4100
Quận Thủ Đức,70,,2,2,,1950
Quận 7,120,,3,3,,3500
Quận Tân Phú,87,Đông,2,2,Đang chờ sổ,2500
Quận 11,40,,1,1,Đã có sổ,1600
Huyện Bình Chánh,69,,2,2,Đã có sổ,1700
Huyện Bình Chánh,32,,1,1,,1550
Quận Thủ Đức,51,,1,1,Đang chờ sổ,1680
Quận Gò Vấp,75,,2,2,,2650
Quận 8,54,,2,1,Giấy tờ khác,2050
Quận 12,17.5,Đông,2,1,Đã có sổ,760
Quận 11,90,,2,2,Đã có sổ,1520
Huyện Hóc Môn,165,,,,Đã có sổ,7500
Quận Tân Phú,63,,2,2,Đã có sổ,1690
Quận 7,70,Nam,2,2,Đang chờ sổ,3500
Quận 12,71,Bắc,2,2,Đang chờ sổ,1869
Quận Bình Thạnh,63,,2,1,Đã có sổ,1670
Quận Tân Bình,38,Đông Nam,1,1,Đã có sổ,1900
Quận 1,68.2,Đông,2,2,Đã có sổ,12900
Quận 8,61.75,,2,2,,1680
Quận Thủ Đức,77,Tây,2,2,Đã có sổ,2500
Quận 7,75,,2,2,,2800
Huyện Bình Chánh,41,Đông,1,1,Đã có sổ,600
Quận Tân Phú,40,,1,1,Đã có sổ,1420
Quận 2,56.9,,1,1,Đang chờ sổ,7958
Quận 8,73,,2,2,,2000
Quận 12,57,,2,1,Giấy tờ khác,1750
Quận 1,25,,1,1,Đã có sổ,1230
Quận Tân Phú,71,,2,2,Đang chờ sổ,3600
Quận Tân Bình,40,,1,1,Đang chờ sổ,900
Quận 4,90,,3,2,Đã có sổ,3950
Quận 8,75,Tây Bắc,2,2,Đã có sổ,2920
Quận Thủ Đức,68,,2,2,,2470
Quận Thủ Đức,68,Tây Bắc,2,2,Đang chờ sổ,3500
Huyện Nhà Bè,52,,2,1,,2000
Quận Bình Tân,80,Đông,3,3,Đã có sổ,2200
Quận 12,55,,3,3,Đã có sổ,4800
Quận Thủ Đức,51,,1,1,,1600
Quận 12,69,Đông Bắc,2,2,Đang chờ sổ,1820
Quận 8,54,,2,1,Đang chờ sổ,2040
Quận 8,75,,2,2,Đang chờ sổ,2180
Quận 7,85,,2,3,Đang chờ sổ,1760
Quận 11,40,,1,1,Đã có sổ,950
Quận Tân Bình,40,Nam,1,1,Đã có sổ,950
Quận 2,70,,2,2,Đã có sổ,4150
Quận 7,53,,1,1,,2150
Quận 12,60,Tây,2,2,Đang chờ sổ,1520
Quận Thủ Đức,78,,3,2,,1980
Quận 7,106,Đông,2,2,Đã có sổ,4400
Quận Bình Tân,80,,3,2,Đang chờ sổ,2700
Quận Tân Bình,56,,1,1,,2986
Quận 10,75,,2,2,Đã có sổ,3399
Quận Tân Phú,58,,2,1,Đã có sổ,1790
Quận 9,61,,2,1,Đã có sổ,1390
Huyện Bình Chánh,101,Bắc,3,2,Đã có sổ,1950
Quận 8,74,,2,2,Đang chờ sổ,3290
Quận Bình Tân,53,,2,1,Đang chờ sổ,1330
Quận 2,85,,2,2,Đang chờ sổ,3450
Quận 4,53,,1,1,,3800
Quận Phú Nhuận,50,,1,1,,3500
Quận 12,53,Tây,2,2,Đã có sổ,1550
Quận 7,55,,2,1,,2300
Quận 9,46,Tây,1,1,Đang chờ sổ,756
Quận 5,42,,2,1,Đã có sổ,1600
Quận 2,69,,2,2,Đã có sổ,4250
Quận 8,72,,2,2,Đã có sổ,1950
Quận Thủ Đức,100,Đông Bắc,3,2,Đã có sổ,3050
Quận Tân Phú,87,,2,2,Đã có sổ,2200
Quận Tân Bình,45,,1,1,,950
Quận Tân Phú,65,,2,2,,2850
Quận Tân Phú,91,,2,2,,3500
Quận 8,73,Đông,2,2,,2150
Huyện Nhà Bè,68,,2,2,Đang chờ sổ,2500
Quận 7,67,,2,2,Đang chờ sổ,1500
Quận 7,57.1,Đông Bắc,2,1,Đang chờ sổ,2280
Quận Bình Thạnh,78,,2,1,Đã có sổ,3200
Quận 9,59,,2,1,,1996
Quận Thủ Đức,80,Đông Nam,3,2,Đang chờ sổ,3500
Quận 12,54,,2,2,,1840
Quận 2,62,,2,2,Đã có sổ,2290
Quận 8,73,,2,2,,2350
Huyện Nhà Bè,75,,2,2,Đã có sổ,1750
Quận 2,108,Tây,2,2,Đang chờ sổ,9500
Quận Tân Phú,84,,3,2,,3550
Quận 7,80,Đông Bắc,2,2,Đang chờ sổ,3350
Huyện Nhà Bè,100,,2,2,Đã có sổ,2100
Huyện Bình Chánh,65,Tây Nam,2,2,Giấy tờ khác,2100
Quận 2,50,Tây Bắc,1,1,Đã có sổ,1999
Quận Tân Bình,35,Bắc,1,1,Giấy tờ khác,950
Quận 2,98,,2,2,Đã có sổ,5400
Quận Gò Vấp,66,,2,2,Giấy tờ khác,450
Quận Thủ Đức,60,,2,2,Đang chờ sổ,1550
Quận 7,76,,2,2,Đã có sổ,3690
Quận Tân Bình,46,,1,1,Giấy tờ khác,950
Quận 2,33,,1,1,Đã có sổ,1800
Quận Thủ Đức,70,Đông Nam,2,2,Đã có sổ,1970
Quận 2,65,,2,2,Đã có sổ,4150
Quận 7,53,,1,1,,2250
Quận 8,60,Đông Bắc,2,1,Đã có sổ,2300
Huyện Nhà Bè,71,Bắc,2,2,,2950
Quận 7,82,,2,2,Đã có sổ,3100
Quận Tân Bình,52,Đông,1,1,Đã có sổ,1850
Quận Thủ Đức,75,,2,2,Đã có sổ,1530
Quận Thủ Đức,38,Đông,1,1,Đã có sổ,1200
Quận 7,76,,2,2,Đang chờ sổ,3690
Quận Bình Thạnh,72,Đông Nam,2,2,Đang chờ sổ,3150
Quận Tân Phú,65,,2,2,,2850
Quận Tân Bình,57,,2,1,,3300
Quận Gò Vấp,66,,2,2,Đã có sổ,1200
Quận Thủ Đức,37,Tây Bắc,1,1,Đã có sổ,1080
Quận 8,166,,3,2,Giấy tờ khác,8500
Huyện Nhà Bè,100,,2,2,Đã có sổ,2200
Quận 10,73,,2,2,Đang chờ sổ,5500
Quận 8,56,Đông Nam,2,2,Giấy tờ khác,1185
Quận 7,70,,2,2,Đã có sổ,2600
Quận 2,63,,2,2,Đang chờ sổ,2150
Quận 8,78.88,Tây Bắc,2,2,Đang chờ sổ,2500
Quận 8,68,Đông Nam,2,2,Đã có sổ,2500
Quận 8,54,,2,1,Đang chờ sổ,2090
Quận Tân Phú,85.21,,2,2,Giấy tờ khác,4200
Huyện Nhà Bè,315,,5,3,Đã có sổ,4700
Huyện Nhà Bè,401,,5,3,Đã có sổ,5600
Quận Bình Tân,53,,1,1,Đang chờ sổ,1880
Quận 8,55,,2,2,,1420
Quận Phú Nhuận,109,,3,2,Đang chờ sổ,7945
Quận 7,105,,3,2,Đang chờ sổ,4900
Quận 8,76,,3,2,Giấy tờ khác,1691
Quận Tân Phú,96,Tây,2,2,,7777.777
Quận 9,58,,2,,,1600
Quận Tân Phú,107,Đông Nam,3,2,Giấy tờ khác,5029
Quận Tân Phú,53,Tây Bắc,2,1,,2500
Quận 8,52,,2,1,Đang chờ sổ,2140
Quận Tân Phú,91,Tây Bắc,3,2,Giấy tờ khác,3590
Quận 9,69.4,Đông Bắc,3,2,Giấy tờ khác,1622.38
Quận Gò Vấp,65,,2,2,Đã có sổ,1900
Quận Tân Phú,63,Nam,2,1,,3300
Quận Gò Vấp,75,Nam,2,2,,3850
Quận 9,69.73,,2,2,,2650
Quận Bình Tân,56,,2,1,Đang chờ sổ,2230
Quận Thủ Đức,69,,2,2,,2600
Quận Phú Nhuận,103,Đông Bắc,2,2,Đã có sổ,6200
Huyện Nhà Bè,100,,2,2,Đã có sổ,2130
Quận Tân Bình,69,,2,2,Đang chờ sổ,4000
Quận Thủ Đức,59,Đông Nam,2,2,Đã có sổ,1780
Quận 2,158,,2,2,Đang chờ sổ,12000
Quận Tân Phú,69,Tây Bắc,2,2,Đã có sổ,2800
Quận Thủ Đức,72,,2,2,,2100
Quận Tân Phú,92.5,Tây Bắc,2,2,Giấy tờ khác,4430
Quận Thủ Đức,74,,2,2,Đang chờ sổ,1700
Quận 6,51,,2,1,Đang chờ sổ,1750
Quận 2,64,,2,2,Đã có sổ,3200
Quận Bình Thạnh,72,Đông Nam,2,2,Đang chờ sổ,2900
Quận 8,68,,2,2,Đã có sổ,2500
Quận 10,108,,3,2,,7300
Quận 3,52,,1,1,,1850
Quận Bình Tân,56,,2,1,,2160
Quận 8,73,,2,2,,2100
Huyện Bình Chánh,46,Đông Nam,1,1,Đang chờ sổ,1600
Quận Bình Thạnh,70,Tây Bắc,1,1,Đang chờ sổ,12000
Quận 4,50,,1,1,Đã có sổ,3450
Quận 8,62,Bắc,2,2,Đang chờ sổ,1500
Quận 2,52.7,,1,1,Đang chờ sổ,5000
Quận 8,68,,2,2,Đang chờ sổ,3000
Quận 2,107,,3,2,Đang chờ sổ,4600
Quận 2,48.8,,1,1,Đang chờ sổ,4100
Quận Tân Phú,66,,2,1,,2450
Quận 7,53,,1,1,,2250
Quận 7,103,Bắc,2,2,Đã có sổ,3880
Quận Thủ Đức,80,Nam,2,2,,2420
Quận Bình Tân,40,,2,1,Đã có sổ,850
Quận Tân Bình,57,,2,1,,3150
Quận Tân Bình,90,,3,2,Đã có sổ,3450
Quận 8,74,,2,2,Đang chờ sổ,2200
Quận 9,59,,2,1,Đang chờ sổ,1400
Quận 2,89.94,,3,2,Đang chờ sổ,5200
Quận 9,69,Đông Nam,2,2,Đang chờ sổ,2600
Quận 7,53,,1,1,Đang chờ sổ,1900
Quận 7,147,,3,2,Đã có sổ,6400
Quận 12,47,,1,1,Giấy tờ khác,2050
Quận Tân Phú,63,Tây Bắc,2,2,Đã có sổ,2720
Quận 9,69,,2,2,,2100
Quận 8,74,Đông Nam,2,1,Đã có sổ,1590
Quận Thủ Đức,67,,2,2,,2650
Quận 7,70,,2,2,Đang chờ sổ,2200
Quận 2,68,,2,2,Đang chờ sổ,2100
Quận Phú Nhuận,52,,2,1,Đã có sổ,2450
Quận 9,73,,2,2,,2000
Huyện Nhà Bè,60,,2,2,Đang chờ sổ,1450
Quận Thủ Đức,57,,2,,,520
Quận 10,50,,1,1,Đang chờ sổ,3800
Quận 9,65,Nam,2,2,Đang chờ sổ,2350
Quận 7,150,Bắc,3,2,Đang chờ sổ,4050
Quận Bình Tân,63,Đông Nam,2,2,,1660
Quận 7,69,Tây Nam,2,2,Đang chờ sổ,2689
Quận 9,56,Đông Nam,2,1,,1750
Quận 8,99,,2,2,Đã có sổ,2150
Quận Thủ Đức,85,,2,2,Đã có sổ,2350
Quận 7,73,,2,2,Đã có sổ,1500
Quận 7,73,,2,2,Đang chờ sổ,1550
Quận Tân Phú,65.2,,2,2,Đang chờ sổ,2900
Quận 7,85,,2,3,Đang chờ sổ,1720
Quận Bình Tân,75,Đông Nam,2,2,Giấy tờ khác,2800
